🌺,"['花', '花朵', '花花', '芙蓉', '', '小花朵', '牡丹', '话', '老树叶', '桃花']","[73, 19, 6, 3, 3, 2, 1, 1, 1, 1]",hibiscus
🪀,"['玩具', '悠悠球']","[2, 1]",yo-yo
🤲🏻,['捧着'],[1],palms_up_together_light_skin_tone
🦦,['装赖'],[1],otter
🚗,"['车', '汽车', '轿车', '开车', '小车', '车子', '', '车车', '小汽车', '小轿车', '车辆', '出租', '汽車', '骑车', '爱车', '一车', '路', '本车', '停车']","[300, 61, 7, 5, 4, 4, 4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",automobile
🤏,"['捏', '一点点', '掐', '拿捏', '一点', '', '点', '韩', '小', '一丁点', '捏捏', '点点', '手', '手指', '嘬', '弹丸', '一下', '这么', '掐着', '小西八', '有点', '丁点', '掐掐', '浅表', '捏一下', '棒子', '短', '左手', '抠蝻', '掐死', '一捏捏', '小小', '扒', '点点了', '你', '捏住', '不大点', '小撮']","[84, 38, 24, 9, 8, 5, 4, 4, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",pinching_hand
🤗,"['抱抱', '棒极啦', '快乐', '摆烂', '过瘾呦']","[19, 1, 1, 1, 1]",smiling_face_with_open_hands
🈸,"['申', '中', '要']","[6, 3, 1]",Japanese_application_button
🧍‍♀️,"['妹妹', '姐姐', '女人', '阿姨', '小姐姐', '女子', '小妹妹', '女人们', '妹', '姐妹', '老女人', '她（阿姨）', '站立', '']","[101, 76, 21, 11, 7, 4, 2, 1, 1, 1, 1, 1, 1, 1]",woman_standing
🐬,"['海豚', '鱼', '鲸鱼', '终于']","[22, 2, 1, 1]",dolphin
🥿,"['鞋子', '鞋', '', '平底鞋']","[7, 4, 1, 1]",flat_shoe
🙇,"['鞠躬', '道歉', '', '鞠躬道歉', '见笑了']","[4, 4, 2, 1, 1]",person_bowing
🤷🏻‍♂️,"['誰', '我也不知道啊', '摊手', '不知道']","[1, 1, 1, 1]",man_shrugging_light_skin_tone
🍴,"['刀叉', '叉子', '', '餐厅']","[4, 1, 1, 1]",fork_and_knife
👎🏿,"['反对', '鄙视', '不喜欢', '傻逼']","[1, 1, 1, 1]",thumbs_down_dark_skin_tone
🍣,"['寿司', '司']","[8, 1]",sushi
👪,"['家庭', '家人', '团圆', '庭', '', '团聚']","[2, 2, 1, 1, 1, 1]",family
🇪🇺,"['欧盟', '']","[8, 1]",European_Union
🇻🇳,['越南'],[3],Vietnam
🥮,"['月饼', '榴莲', '', '中秋节', '病', '月餅', '中秋']","[12, 1, 1, 1, 1, 1, 1]",moon_cake
🙊,"['不说', '偷', '偷笑', '男人', '说话了', '好', '不说话']","[2, 1, 1, 1, 1, 1, 1]",speak-no-evil_monkey
🥈,['第二名'],[1],2nd_place_medal
🚬,"['烟', '抽烟', '香烟', '吸烟', '眼', '', '烟头', '戒烟', '抽烟了']","[111, 29, 9, 9, 3, 2, 1, 1, 1]",cigarette
🏉,['橄榄球'],[2],rugby_football
😯,"['哇', '哇哦', '哦', '哦喔', '哇塞', '悲哀', '种嘴型']","[7, 4, 1, 1, 1, 1, 1]",hushed_face
🥤,"['奶茶', '饮料', '可乐', '', '果汁', '奶', '可口可乐', '座', '酒', '奶茶吧', '百世']","[31, 13, 10, 2, 1, 1, 1, 1, 1, 1, 1]",cup_with_straw
8⃣,[],[],keycap_8
🇫🇷,['法国'],[2],France
👶🏻,"['孩子', '小孩', '宝宝', '婴儿', '孩', '小孩子', '', '儿子', '儿', '宝贝', '萌宝', '男的小孩', 'baby', '小宝宝', '子']","[107, 48, 35, 8, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",baby_light_skin_tone
🦜,"['鸟', '鹦鹉', '', '阴', '啰嗦', '鳥', '小鸟', '叽叽喳喳', '燕', '英国']","[66, 24, 2, 1, 1, 1, 1, 1, 1, 1]",parrot
👒,"['帽子', '草帽', '帽']","[5, 2, 1]",woman’s_hat
🍆,"['茄子', '茄', '', '大茄子', '靴', '期', '茄子吗', '乌茄子']","[459, 20, 7, 2, 1, 1, 1, 1]",eggplant
💽,['碟片'],[1],computer_disk
☎,['电话'],[1],telephone
📧,['邮件'],[1],e-mail
📈,"['上涨', '涨', '股市', '股票', '点', '上升', '增长', '涨停', '数据', '好', '涨了', '上']","[36, 31, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",chart_increasing
🛀,"['洗澡', '', '泡澡', '洗澡澡', '洗澡盆', '浴室']","[44, 2, 2, 1, 1, 1]",person_taking_bath
🧧,"['红包', '彩礼', '福利', '压岁钱', '', '钱', '红大包', '大红包', '收红包', '红包红包', '过年']","[155, 5, 4, 3, 2, 1, 1, 1, 1, 1, 1]",red_envelope
🙋‍♂️,"['举手', '举报', '找', '招手', '挥手', '报名了', '摆拍']","[7, 1, 1, 1, 1, 1, 1]",man_raising_hand
🤡,"['小丑', '丑', '演员', '丑国', '', '戏子', '喜剧', '面具', '做秀', '小丑了', '猪', '滑稽', '小']","[694, 10, 4, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1]",clown_face
👐,"['没办法', '办法', '联手', '打开', '张开手', '双手']","[6, 2, 1, 1, 1, 1]",open_hands
🧎🏻‍♂️,['跪着'],[1],man_kneeling_light_skin_tone
👔,"['衣服', '衬衫', '领带', '西装', '西服', '衬衫、', '正装', '官', '礼物', '领结']","[19, 10, 5, 2, 1, 1, 1, 1, 1, 1]",necktie
🪑,"['椅子', '小椅子']","[5, 1]",chair
🥩,"['肉', '肉肉', '腊肉', '肥', '牛肉', '', '牛排']","[32, 3, 3, 2, 1, 1, 1]",cut_of_meat
🇦🇶,['南极'],[1],Antarctica
🧂,"['盐', '烟', '咪咪', '调味品']","[6, 2, 1, 1]",salt
😑,"['眯眯眼', '无语！', '无语']","[3, 1, 1]",expressionless_face
👨🏻‍🦱,['大叔'],[3],man_light_skin_tone_curly_hair
🦖,"['恐龙', '龙', '霸王龙']","[9, 2, 2]",T-Rex
🩸,"['血', '鲜血', '流血', '血液', '人血', '杀', '雪', '']","[123, 1, 1, 1, 1, 1, 1, 1]",drop_of_blood
🪦,"['', '🪦']","[1, 1]",headstone
🎥,"['摄像机', '摄像', '摄像头', '摄像师', '电影', '摄影']","[16, 12, 9, 7, 3, 1]",movie_camera
👵,"['奶奶', '老太太', '老奶奶', '外婆', '奶', '', '哭', '妈', '太太', '乃', '爷', '老人', '人', '漂亮奶奶', '爷爷', '老头', '二奶奶', '奶奶了', '老']","[185, 14, 6, 6, 5, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",old_woman
