😀,嘿嘿
😁,嘻嘻
😂,笑哭了
😃,哈哈
😄,大笑
😅,苦笑
😆,斜眼笑
😇,微笑天使
😉,眨眼
😊,羞涩微笑
🙂,呵呵
🙃,倒脸
🤣,笑得满地打滚
🫠,融化
☺,微笑
😍,花痴
😗,亲亲
😘,飞吻
😙,微笑亲亲
😚,羞涩亲亲
🤩,好崇拜哦
🥰,喜笑颜开
🥲,含泪的笑脸
😋,好吃
😛,吐舌
😜,单眼吐舌
😝,眯眼吐舌
🤑,发财
🤪,滑稽
🤔,想一想
🤗,抱抱
🤫,安静的脸
🤭,不说
🫡,致敬
🫢,睁眼捂嘴
🫣,偷看
😏,得意
😐,冷漠
😑,无语
😒,不高兴
😬,龇牙咧嘴
😮‍💨,呼气
😶,沉默
😶‍🌫,迷茫
😶‍🌫️,迷茫
🙄,翻白眼
🤐,闭嘴
🤥,说谎
🤨,挑眉
🫥,虚线脸
🫨,摇晃的脸
😌,松了口气
😔,沉思
😪,困
😴,睡着了
🤤,流口水
😵,晕头转向
😵‍💫,晕
😷,感冒
🤒,发烧
🤕,受伤
🤢,恶心
🤧,打喷嚏
🤮,呕吐
🤯,爆炸头
🥴,头昏眼花
🥵,脸发烧
🥶,冷脸
🤠,牛仔帽脸
🥳,聚会笑脸
🥸,伪装的脸
😎,墨镜笑脸
🤓,书呆子脸
🧐,带单片眼镜的脸
☹,沮丧
😓,汗
😕,困扰
😖,困惑
😞,失望
😟,担心
😢,哭
😣,痛苦
😥,失望但如释重负
😦,啊
😧,极度痛苦
😨,害怕
😩,累死了
😫,累
😭,放声大哭
😮,吃惊
😯,缄默
😰,冷汗
😱,吓死了
😲,震惊
😳,脸红
🙁,微微不满
🥱,打呵欠
🥹,忍住泪水
🥺,恳求的脸
🫤,郁闷
☠,骷髅
👿,生气的恶魔
💀,头骨
😈,恶魔微笑
😠,生气
😡,怒火中烧
😤,傲慢
🤬,嘴上有符号的脸
👹,食人魔
👺,小妖精
👻,鬼
👽,外星人
👾,外星怪物
💩,大便
🤖,机器人
🤡,小丑脸
😸,微笑的猫
😹,笑出眼泪的猫
😺,大笑的猫
😻,花痴的猫
😼,奸笑的猫
😽,亲亲猫
😾,生气的猫
😿,哭泣的猫
🙀,疲倦的猫
🙈,非礼勿视
🙉,非礼勿听
🙊,非礼勿言
❣,心叹号
❤,红心
❤‍🔥,火上之心
❤‍🩹,修复受伤的心灵
❤️‍🔥,火上之心
❤️‍🩹,修复受伤的心灵
💌,情书
💓,心跳
💔,心碎
💕,两颗心
💖,闪亮的心
💗,搏动的心
💘,心中箭了
💙,蓝心
💚,绿心
💛,黄心
💜,紫心
💝,系有缎带的心
💞,舞动的心
💟,心型装饰
🖤,黑心
🤍,白心
🤎,棕心
🧡,橙心
🩵,浅蓝色的心
🩶,灰心
🩷,粉红色的心
👁‍🗨,眼睛对话框
👁‍🗨️,讲话泡泡中的眼睛
👁️‍🗨,讲话泡泡中的眼睛
👁️‍🗨️,讲话泡泡中的眼睛
💋,唇印
💢,怒
💤,睡着
💥,爆炸
💦,汗滴
💨,尾气
💫,头晕
💬,话语气泡
💭,内心活动气泡
💯,一百分
🕳,洞
🗨,朝左的话语气泡
🗯,愤怒话语气泡
✋,举起手
✋🏻,举起手: 较浅肤色
✋🏼,举起手: 中等-浅肤色
✋🏽,举起手: 中等肤色
✋🏾,举起手: 中等-深肤色
✋🏿,举起手: 较深肤色
👋,挥手
👋🏻,挥手: 较浅肤色
👋🏼,挥手: 中等-浅肤色
👋🏽,挥手: 中等肤色
👋🏾,挥手: 中等-深肤色
👋🏿,挥手: 较深肤色
🖐,手掌
🖐🏻,手掌: 较浅肤色
🖐🏼,手掌: 中等-浅肤色
🖐🏽,手掌: 中等肤色
🖐🏾,手掌: 中等-深肤色
🖐🏿,手掌: 较深肤色
🖖,瓦肯举手礼
🖖🏻,瓦肯举手礼: 较浅肤色
🖖🏼,瓦肯举手礼: 中等-浅肤色
🖖🏽,瓦肯举手礼: 中等肤色
🖖🏾,瓦肯举手礼: 中等-深肤色
🖖🏿,瓦肯举手礼: 较深肤色
🤚,立起的手背
🤚🏻,立起的手背: 较浅肤色
🤚🏼,立起的手背: 中等-浅肤色
🤚🏽,立起的手背: 中等肤色
🤚🏾,立起的手背: 中等-深肤色
🤚🏿,立起的手背: 较深肤色
🫱,向右的手
🫱🏻,向右的手: 较浅肤色
🫱🏼,向右的手: 中等-浅肤色
🫱🏽,向右的手: 中等肤色
🫱🏾,向右的手: 中等-深肤色
🫱🏿,向右的手: 较深肤色
🫲,向左的手
🫲🏻,向左的手: 较浅肤色
🫲🏼,向左的手: 中等-浅肤色
🫲🏽,向左的手: 中等肤色
🫲🏾,向左的手: 中等-深肤色
🫲🏿,向左的手: 较深肤色
🫳,掌心向下的手
🫳🏻,掌心向下的手: 较浅肤色
🫳🏼,掌心向下的手: 中等-浅肤色
🫳🏽,掌心向下的手: 中等肤色
🫳🏾,掌心向下的手: 中等-深肤色
🫳🏿,掌心向下的手: 较深肤色
🫴,掌心向上的手
🫴🏻,掌心向上的手: 较浅肤色
🫴🏼,掌心向上的手: 中等-浅肤色
🫴🏽,掌心向上的手: 中等肤色
🫴🏾,掌心向上的手: 中等-深肤色
🫴🏿,掌心向上的手: 较深肤色
🫷,向左推
🫷🏻,向左推: 较浅肤色
🫷🏼,向左推: 中等-浅肤色
🫷🏽,向左推: 中等肤色
🫷🏾,向左推: 中等-深肤色
🫷🏿,向左推: 较深肤色
🫸,向右推
🫸🏻,向右推: 较浅肤色
