id	prediction
10001	别生气，这是账号，这个傻逼美狗
10002	别说了，我已经吐了
10004	别说舔脸，舔脚都不行
10006	别说嘴，你二弟我都亲
10019	别演了，看着都尴尬，有时间演还不如老老实实学点技术
10021	别在操作间里面烟感觉就更有食欲了
10027	别装了书币
10048	毕竟都是胸的
10049	毕竟胸里藏贱是吧
10059	逼毛子北伐还谴责，鹰真的下头
10060	比那些露胸露腚的主播好看多了
10065	鄙视美国
10066	鄙视你
10068	鄙视戏子
10076	屄松的，得拿脚塞
10080	比我家母牛的舌头还粗
10085	必须辞职，地球村要团结一致，方能战胜一切来犯之敌
10091	必须可以小程序搜索酒分之一可以选择快递下单哦
10109	鼻子上面带环，嫁人了。
10124	波大水多洞大
10133	不丑，中三缺一
10144	不错，胸堆的很棒
10150	布丁必遭报!
10160	不分青红皂白就要把人带走的啊蛇到处都是
10169	不搞，俄熊不让
10171	不给个吻不喝
10183	不过是取悦老头的手段罢了
10188	不好好上学跑去做倒贴赔钱货的女人就是这样的下场
10192	不好意思难受10年都没懂
10197	不会是在长白山捡了个蘑菇吧？
10216	不看也是一种幸福
10222	不可以，因为你是钓鱼的
10224	不愧是战斗民族，养胸跟养狗一样
10229	不理我，这么高冷了歪
10243	不怕有蛇吗？
10245	不怕蛇吗
10251	不劝架还递刀的流氓，真想收拾这些垃圾
10252	不劝架，努力递刀子？
10268	不生孩子还结啥婚，就这么谈着呗，
10269	不是1600也配带妈妈吧
10277	不是紧急情况，如果紧急消防车就下来说话了，不会只打警笛
10294	不是说鬼子汽车不生锈吗
10301	不是以前的中国了，我们希望世界和平，你在挑衅早晚要清算历史
10309	不是禁放烟花谁这么大胆子
10321	不想看到此人，恶心不过你说的对呀，太他娘的累啦！
10337	不要把胸吹的那么厉害
10340	不要被漂亮国玩了，你们可是兄弟，
10356	不要散屌火，我给咱村光棍子弄点回去，你别哭就行
10361	不要一点熊脸
10379	不用导弹火箭弹让你寸草不生
10392	不知道你有没有看到过男人为了睡老母猪在它腰两边插刀用手把着保持平衡母猪拼命挣扎最后失血过多的新闻
10433	蔡英文：等我多吃点小日子的核食品，变异基因成绿巨人再见
10452	草泥马根本就是一场严重事故，却被吹嘘成为欢乐！
10456	草泥马让官方来喝两杯试试吧
10460	曹狗出院了，但病还没治好！
10491	唱歌要不过几天我们出来玩可以不
10496	长了下面眼睛
10501	长小熊，破大防
10505	长胸上
10510	超市卖菜刀没毛病啊，如果你邻居买十几、二十几把菜刀，看你怕不怕。
10522	查一下那些点反对手势的，估计都是美帝的走狗
10526	成绩直线置顶，年级第一就是我
10533	陈姐下午好来看跳舞了跳得真好看
10535	陈老师好美哦细腰翘臀惊艳到我了
10549	扯你MUM的二篮球！那个玩意风水轮流转，
10555	车真好看，高跟鞋怎么卖
10564	吃地瓜胖吗
10580	吃热狗吗
10589	痴心妄想，还金戒指？10块钱的饭包都不给买，一个甘蔗一冬天！
10594	吃桃，好凉凉
10597	吃强子好了她，用刀一点一点的，薄
10602	丑不丑的无所谓，会比耶就行
10605	臭光头臭光头
10607	瞅你那s羊吧
10620	穿白衣的胖子不是正八经的机械加工人
10624	穿搭满分
10644	穿比基尼去水库吗
10654	垂死病中惊坐起，小丑竟是你自己
10664	纯粹娱乐，谢谢理解，开心过好每一天
10673	春天到来了这只母狗“疯了”你懂的
10676	春天来了蜜蜂寻找自己的食物
10683	出兵拳头吗？
10693	出了就是核处理，和鹅大大一起发蘑菇！
10696	出了名的蝎子坏种
10706	出去户外晒晒太阳防止发霉了
10713	此视频和电动车有毛线的关系
10715	此时，饿罗斯笑着✓乌克兰说：firsttime？
10716	刺猬：你食湿了啦，你个哦巴萨
10722	从脚往上看
10726	从来没有见过奴隶都拼命的加入奴隶主的怀抱，你是为了点骨头真是拼了!
10731	从上到下机会完美就是胸前小了点
10741	带把伞，几棒子抡过去
10748	带个眼镜拿枪傻狗
10751	戴结婚戒指了
10757	带茄子地里面了
10758	逮蛇能手
10760	袋鼠必须从地球上消失
10767	袋鼠也有致命性武器？用袋鼠去打
10769	呆湾真的跟个小丑一样！
10772	带孝子英雄联盟大于篮球领域你的比嘴真会说啊
10780	当初为何你不找个有钱的老头何必祸害别人，
10799	当为毛子送了礼物。
10813	蛋糕的戏份也是蛮多的刚从七月那过来
10829	道理个锤子以后别谈道理
10832	道歉胸！
10855	大笨大象跳舞
10865	大的像炸弹还小
10881	大夫曰：江湖险恶，乌龟矩矩方能保你平安
10887	大哥你说的是手付吗
10893	大哥，你冲动了。你朋友也是身不由己啊。还记得一衣带水吗？，还记得乒乓球外交吗？
10896	大公主早安周1愉快肌肉自己的宝
10903	大红丁字裤子都出来了
10907	大家去给大使馆刷火箭吧
10911	大家有枪看谁先发现了，大家都是精锐看谁先动手
10912	大姐就是本喜欢表演。
10913	大姐明明已经睡着了
10915	大姐跳舞的了？
10916	打就打，那边老头有没有想好
10917	打击惩治洋奴异化的公知专假叫兽及无良作协类
10924	打两针就无事嘎啦
10935	大妹是你老地方？旧房子果园？
10939	大米粥也不能吃，那吃什么碗？
10950	打你呦
10954	大茄子，大黄瓜都可以用
10958	大气球，真丰满。
10962	大沙发大家互动起来
10969	打死你狗日的
10974	大糖糖又来了。调皮一下
10978	大腿内侧的肌肉看到没如此结实
10979	大腿安逸
10989	大小公主真漂亮
10999	大熊进军抖音
11003	大学培养出来一群群羊！悲哀莫过于此！
11020	打篮球吗打篮球吗
11023	打蛇打七寸！关键就是老美！
11027	打狗日的！
11043	打锤子匹克，害人害几有意思嘛，骗子
11048	大俄罗斯的威胁多半口嗨，真干，他们自己人也不会同意。
11051	等超可爱超优秀的你们呀互相喜欢最最可爱啊
11056	邓稼先呢？一锤子敲死你
11057	瞪你的大眼好好看
11059	等你我一起戒掉酒杯哪！…拉个勾我们一起戒掉酒吧
11062	等收到玫瑰花早错过了今天的节日
11064	等他睡着了揍他一顿
11068	等我在挣几年钱，把家安顿好，带着炸弹去日本听听响。
11079	德国狗杂种第一次世界大战第二次世界大战都有它被打败了现在还不消停到处挑拨离间把这狗日的灭了发射10颗原子弹彻底让它从地球上消失
11081	德国人真踏马恶心！全世界都在劝架，结果第一个跳出来递刀子的居然是它，回头看大毛胸怎么收拾你
11082	德国是想让俄熊再次进入柏林
11084	德国喜获大毛火箭一枚带蘑菇的！
11086	德国：我今天是销王了售出400枚火箭炮
11087	德国：我们的伤疤还没好完，还想让我们去碰炸弹，滚犊子吧
11094	点反对的人一定是内鬼和间谍
11111	店主都感动到哭差评
11116	叼上纹的小鸟吗？
11119	掉肉的
11122	定点清除，打蛇打七寸，擒贼先擒王
11125	顶着两个炸弹，随时可能爆炸
11126	顶胸超级棒
11139	递刀有罪……呼吁和平
11141	递刀子
11143	弟弟dd钓鱼达咩
11147	第二朵蘑菇云腾空之时世界就嘘了……看哪个是那个倒霉的国家！
11167	第三天嘴上起了疱疹。
11172	第五纵队的，来，领骨头还有盒饭。
11177	第一杯必须是扎啤酒？
11186	第一个是蛇了吗
11193	第一眼看成射了
11200	递刀递枪，打的时间越久，死的人越多
11202	东北人的口碑真的鄙视，外面光实际是只驴粪蛋
11208	懂个锤子，还支持呢
11229	抖音里的女人太恐怖了！男朋友一大堆还说自己单身
11232	抖音啥鸟都有。
11235	斗鱼那群小团体纯小丑，又爱叫又恶心人
11237	抖微信同号
11240	对啊越用越亲亲！视频
11246	对待不守信用的日本人和西方欧美国家，只能用拳头说话
11250	对鸡吧，，脚痛的很
11259	对于你这种只会瞎BB的人来说，在我面前，我只会用拳头来和你交流
11268	对，你就当个乌龟吧
11271	炖大鹅开始
11275	多打一枪。
11284	多么好的城市风光一打仗，一堆瓦砾
11288	多想和你一样臭不要脸眼镜和表情都挂在脸上
11304	都打仗啦还用买猕猴桃吗？不都说哄抢啦吗？
11305	嘟嘟都有气球我都没有
11308	独角兽有没有
11314	都怕亲了上，又要嘴下都不敢找你。
11317	都骑到咱脖子上了，忍字头上一把刀！
11352	都为以后大战做准备，地球快炸了
11353	都胸死了，为啥台湾收复不回来啊
11359	肚子和胸都大
11360	肚子和胸上面
11361	肚子还没胸高
11363	恩爱夫妻百年好合！
11367	二的胸罩下掉了
11372	耳朵到哪里去了，该打
11379	耳朵没造反
11381	二哥耳朵有点背抱歉了
11391	二炮就是这么牛，火箭军就是这么牛
11420	恶狼狗搞得你不要不要的
11438	俄罗斯给他送火箭，还在卖货的够狠
11439	俄罗斯和乌克兰是兄弟！乌克兰被人下了蛊毒
11450	俄罗斯人提着一麻袋卢布买一个面包！
11476	饿死它个王八蛋，乌龟娃子离婚找个好人家
11480	俄乌战争太刺激，拜登老头估计吓得大小便失禁，缓不过了
11481	俄孝子们选择性盲人了？
11483	俄熊世界邪恶力量
11485	鹅胸开始玩阴了
11487	俄也奇虎难下，北约多国不是好鸟由其美国佬坏东西挑衅的，可怜乌民众！
11502	恶俄罗斯还说是为和平入侵乌克兰呢
11519	放几个烟花你就怂了……枪炮一响，就吓破你胆
11522	放开那个龙虾让我来
11524	放开那只鳄鱼，让我来
11543	翻白眼的面面
11546	饭都堵不住你的嘴
11555	反战不反美黑心必有鬼
11561	反正大家手中的货币又要进行新一轮更大的贬值，也就是物价又要加速上涨了。
11574	发给我手机号码或者威信号就可以的
11576	发个把狗叼的视频来看啊
11581	法国这次准备几天投降？
11582	法国总统最菜鸟的一个
11583	法律能不能惩罚一下这个无耻之魔鬼！
11587	发信号后入
11609	肥猪待宰！
11614	蜂蜜呀
11639	复制去淘宝
11643	复制这条信息【66₲D7rm245mRTd)/】打开淘宝搜索或唤醒
11644	复致淘宝
11654	该女孩应该带一把小刀、顺手对着男孩子小肚子一刀捅下去、
11658	该死的酒杯模糊了双眼
11660	改天送个钢琴版給你
11672	刚喝瓶22年的牛奶，醉驾
11687	干杯兄弟
11702	敢放平民走，都是有枪的
11706	赶紧把那银行八百多元取出来花了吧！
11715	赶紧睡觉了
11723	感觉胸上当了
11733	感觉胸不太真实
11734	感觉胸大穿也不好看
11737	赶快回来吧！美国容易吃蘑菇，要是偏了西雅图也不好说
11745	干青蛙在后面。
11747	敢收红包的罪可哀
11751	干它，目标华盛顿
11753	干小姐专门找老头干
11759	感谢任意门，感谢生命中如彗星划过的任一人
11763	感谢我胖哥送来的大火箭炮
11764	感谢诸位友友们，开心一刻最重要！健康离不开心！
11768	感谢
11779	感谢你的支持
11789	感谢再也不喝花茶了
11792	感谢支持和鼓励
11800	感谢勇哥的一路相伴与支持
11806	干！用拳头打的以后不敢说台湾二字！
11807	高产大茄子行不
11809	搞到手怕姐妹们伤心，不能为一棵树放弃整片森林吧？在说，那也需要胆量和魄力的
11815	搞个未成年禁观看
11817	高价收购报废车，五千卖吧？
11823	告诉你.用舌头舔
11833	告状夜市这么漂亮，生意也难做。昆明~西双版纳，开通高铁了。
11846	给男的丰胸？
11847	给你10块，买对鞋子。
11856	给你普及一下，对岸火箭炮就能灭你！中国的火箭炮可以精确制导的，世界第一
11860	给你载个锤子不过不载锤子。思想更怀
11864	给欧盟一家一个蘑菇就老实了
11865	给平民发放武器太让人可怕了，一国政府怎么能为了达到政治目的，而把妇孺平民也推向战场做炮灰呢？！
11869	给他放一个沙皇炸弹他就不敢欺负人了
11873	给他们刷点火箭你猜当地政府有没有参与或者知道就是不说呢
11876	给它一颗大男孩，让澳大利亚永远消失
11893	根本谈不了，鹰就是想把胸拉下水。让欧盟也一起进来
11910	跟你走路万一今晚有唱了
11916	跟我理发一样，方头秒变蘑菇头儿
11922	个挨胸吗
11931	格局小了并且这是德哈党的评论，你觉得在这评论合适？
11933	哥们加油3月见
11937	革命尚未成功！还需加倍努力啊
11955	隔着裤子顶你！你得劲？得脱掉
11971	狗比啥也不是，还胸呢
11978	狗屁不懂，最好闭嘴！拜登给你发多少钱啊？
11985	狗熊的话充满谎言
11995	怪不得我这俩月胸疼的不行，以前从来没有过的现象
11998	乖乖棒哒！
12006	乖，这次金牌不干净我们不要
12007	广电真的就是傻逼，盒呸
12011	光脚不怕穿鞋的，把地球炸成尘埃
12020	广西不欢迎特斯拉，这个炸弹在我们广西
12027	贯穿破个洞直接没得救
12029	官方呢，扛枪去了吗，解释一下嘛到底属于哪
12031	管好你吧，傻鸟一板砖
12047	关你鸟事
12052	管他多少岁、开心才万岁！
12054	关心关心你家公主到底去了没有吧
12057	关于湾湾问题我希望中直接挑北约的大哥打
12060	关注我的人，私信我一个发个红包
12066	贵一个面包卖20+元
12071	闺蜜就是姐妹感谢师姐的指点
12080	刽子手，不是筷子手
12084	龟仙人
12087	滚出地球，败类，蠢蛋
12088	滚蛋吧肿瘤，还有是不是从精神病医院跑出来的
12089	滚蛋！鄙视复制者
12090	滚刀是你象爹教的本事吗
12112	国家不允许，违法，五代不能通婚
12123	国家怎么就不管管银行，感觉银行都不靠谱了
12134	果然是乌克兰
12138	国足支持俄罗斯也退出fifa吧！建议中俄联赛这样我们也能有獎牌了
12154	估計以後4g信号會恢復一些
12177	故意的，看到纠结流眼泪了
12186	害怕他个锤子呢，顺着网线过去把他的锤子拔了
12191	害怕万一扔个核弹咋办
12196	海外留下的都是些乌龟王八了
12198	海洋馆，公交车啊
12218	行吧，我们战战就这么着人喜欢那孩子也怪好的啊，乖乖的
12219	行动高于誓言永远别想叫醒一个装睡的人希望看到这条的姐妹有一个超级超级相爱男朋友
12220	航空都没了，寄枪，唯盘百姓生命无恙！
12235	韩国那么穷连电视都买不起吗
12241	韩国有个锤子的战略物资
12245	汗水流的
12248	憨熊样
12249	憨熊一定要和邻居搞好关系！漂亮国不可靠
12263	好吃是好吃，卫生不有次点的猪脑，第一勺勺起来。一个超大的苍蝇粘在上面。再也不敢去了
12270	好大啊姐姐，全网拍十大胸了
12271	好大的刀恐惧
12275	好大个烟屁股踩不熄
12277	好的呢谢谢信任无笑腿歀
12278	好的胸二
12292	好多女人感受
12300	好儿媳私房菜吃饭唱歌一条龙
12309	好丰满喜欢
12318	好害怕蛐蛐蚂蚱被打扁了
12323	好好的奋斗你是最棒的
12338	好姐妹晚上好
12340	好姐妹，早上好，美极了
12344	好久好久不见依然是那么的让人猫！
12352	好久没有喝酒买了两瓶
12356	好看呢为给我看骨头都输了
12369	好可爱的宝贝
12372	好可怜这些人都有报应的
12382	好了可以停止了
12384	好马上火箭过来
12387	好美的天鹅姑娘，舞姿翩翩让人陶醉。
12390	好美的手啊看戒指就知道你是谁了
12397	好漂亮的小女孩、可怜啊！
12409	好色。
12412	好帅好酷
12415	好腿，真粗
12430	好像他前面还有一句，胸大的容易通过。
12446	好喜欢，受不了
12447	好心疼大哥，也替大嫂可怜炳坤还有娟陪着呢
12448	好兄弟背后来插刀看看他的前身
12451	好喜欢穿衣服戴眼镜的，感觉
12457	好喜欢、这
12469	好淘宝
12533	黑洞也发光，只是非常少，本身就是一个光的结构
12574	嘿嘿，谢谢帅锅的夸奖爱你呦
12580	黑猩猩 真恶心
12585	黑心活该
12601	很多精日跑出来支持俄罗斯入侵借此机会美化本子当年干的事
12643	和那伙国猪一比真是！唉
12648	和平个锤子老美坏的不要不要的
12658	核平小日子，让它别出来恶心人
12663	喝汤还用勺子？两个都不专业
12666	和谈了吧不然地球受不了
12676	核武器对地球零伤害
12681	喝一杯冰镇啤酒就好了
12689	盒子打开，恶魔要重生
12697	呵呵，中超岂是因为一个人被捕就能改变的，
12698	红包被领完了
12706	红旗，星星之火。
12731	猴子都挠了半天了，快给根香蕉吧
12755	黄瓜用了多少吨
12761	黄皮求推色号女生宝宝们，来啦有课代表嘛
12767	还si你的手机拍的我
12770	还不如之前那个熊样
12776	换成强贱犯，曼巴精神
12782	还得找桃姐，胸大屁股大腰细腿长骂人毒
12786	还发个锤子抖音视频；控制住喽。
12789	还敢做自制炸弹？太坏了
12794	还好我们胸大
12833	还是特朗普有趣点，怀念小丑在的日子
12838	还是有胸的
12844	还谈个鸟呀？直接把北约美国给灭了，什么事都解决了
12845	还我的花跳舞来
12850	还烟哦
12851	还需要打吗小心又被分配去种土豆当年日本打苏联输了十来万的俘虏被送去哪个国家挖土豆最后就三万活着回来
12860	还用上岸吗，火箭弹十分钟后，你们的有生力量都完肚子了
12865	还有骨头仔
12866	还有很多人天天喊着：乌拉的。打出去你们就口嗨不起来啦…地球回到石器时代
12869	还有老外的往p里开枪的，我特么
12883	还在扇风点火难怪普大帝为你们准备蘑菇吃
12887	还真以为自己很帅哦！自以为是的家伙。我咋那么恶心勒
12889	还自制炸弹知道谁好谁坏呗？
12890	换龟头吗
12893	话不多说，事不过三。出拳头在出拳
12894	话都说不清楚，回去把舌头捋直再出来。
12895	画个熊猫！
12902	花生不错
12929	回去吧！你家里在发枪呢
12932	会收买老师了
12934	会谈桌上放的什么啤酒？
12936	回形针色戒里汤唯梁朝伟的性ai体位
12939	会爱你的宝偷偷赞
12942	混世魔王，恶魔一牧！它是来毁掉人类的
12945	高铁站
12948	货车也会开
12950	活该被骂，喇叭不是随便按的。
12959	火箭多存点
12969	湖北小龙虾，需要找人来剥壳
12985	护士给这姑娘在来两瓶算我下面这位兄弟的
12988	胡桃cos就想钓我 起码得皇帝的新装
12991	胡子走路有点飘？
13004	减肥巧克力哟想的找我
13017	坚决支持坏土豆！
13035	见证糖梦圆网红崛起
13046	脚盆国，可恨不该存在的邪恶的种类
13060	教资面试合格过过
13064	饺子可能也是假的
13076	脚真稳
13090	假期练肌肉洗衣服就不会在喊123了
13092	假日无体灵
13093	假如换作是我直接用锤子朝这个老女人头上砸死
13098	加藤鹰吗
13106	加油俄罗斯，感谢俄罗斯能在普京大帝带领下完美的解决这次战争事件。哪里有压迫哪里就有反抗，你们好样的
13107	加油个锤子，
13119	节哀感谢，整理好心情
13122	接福了感谢好运连连
13130	姐姐带宝宝座汽车真开心开
13131	姐姐的美妹妹欢喜的狠
13175	借你吉言感谢学业顺利
13191	钻戒好看
13193	姐生日快乐
13194	姐姐这个女孩妩媚的眼神·温柔似水·撒娇的样子．看着人魂颠倒
13199	经常打针治疗就有意思
13204	惊弓之鸟么？一个气球而已
13210	靓妹美友开心每一天！
13227	金晨的鼻子怎么感觉整了
13241	进去呱呱了，然后把几千万青蛙分开
13246	金太阳！
13254	今天的骨头领了没有？
13260	今天没看到脚，差评
13277	今晚穿个蕾丝内裤过来
13282	近在咫尺的刀一扎一个准，数米之外你还有反应时间。
13292	就不要演戏了，真正的战争在地球的某个角落已经展开了，祈祷和平
13296	酒店名字起的好
13297	就跟吃鸡一样，没有瞄准镜的狙击枪都没有一个枪的威力大
13299	酒喝多了对身体鄙视尤为女人美少妇请爱惜身体！
13303	就两个椰子壳挺出来。还有啥
13304	就缅甸猴子，能有几辆车给你修？能开上拖拉机算不错了！
13313	救命居然是同城何德何能
13318	救命我看成保护好自己的孩子。我中毒了爽毒
13319	救命我有链接
13320	救命要我就选200加仰卧起坐一整个爱住
13327	就那一招別腿让你俩闻风丧胆啊
13349	就是个猪哩嗡哩嗡
13356	就是内衣不好看
13362	就是小满这么好，十八把小满弄伤心了
13368	就是胸小一点其他完美
13369	就是胸大了
13371	就是戒指少了几个
13388	就喜欢看你跳舞，美美的舞姿棒棒哒
13401	就这货出来耗头发一顿脚。就老实了
13412	就枪太软
13420	记得小时候经常去这条河里面洗澡时间过得好快
13431	集美们，这款罩杯还是有点小的，压胸啊
13447	集体枪决吧！
13451	鸡在外面下蛋，天干可以、下雨怎么办，时间稍长一点就会坏了
13471	绝对不允许中国人穿和服，不能商量！
13475	军哥厉害啊警车开道
13485	居然还有美胸特效
13486	居然有人比胸都不如
13524	开心就好
13525	开心就好，但要注意安全。
13527	开心快乐，不忘回家休息吧
13528	开心就好
13535	凱悅酒店為什麼不開下去，荒廢在那裡那麼多年，可惜了
13537	开郁金香不要这样了好嘛硬完了哦
13555	看不懂，开红绿灯路口我就不走了
13560	看车在漳州龙文区，上面有电话联系
13567	看到都好难过世界和平，不想有任何战争
13571	看到隔夜饭要吐了自以为好看吗？
13586	看到战乱中的孩子们，莫名的心酸
13598	看得我恶心关键都这样了还等男的回心转意？是有那个大病吧
13601	看电视 还不如看老婆好干
13612	看见狗熊头就疼
13613	看见害了眼的人！即恶心又讨厌！
13615	看见了月亮形状的内风化纹，玛瑙材质无疑，老珠子无疑。谢谢分享
13619	看街头人数真是生气，一点都不珍惜及爱护自己
13626	看看现在的公务员都成了锤子了
13633	看看胸直接升天
13636	看来波兰想吃蘑菇了
13644	看来喊了一吨！还是拜登老狐狸历害！
13645	看来和美国还得沟通啊！我觉得美国只相信拳头！
13668	看了这篇文，我很希望你爸家暴你妈。有些贱女人，完全是自讨苦吃。
13686	看你腿是不是有点一米七一米六！
13693	看评论真恶心跪舔到这种地步你们祖宗的棺材板都压不住了
13700	看是看不出来，要用手感受一下才知道
13707	看头像鹰流浪狗一名
13710	看问题角度不同，只能看拳头了
13712	看我祝胜利进群
13725	看这腿型肯定经常从后边进入
13726	看这老头磨牙，有点恶心的感觉
13732	看着好难受，太突然了，
13734	看着紧锁眉头的帅哥——喜欢有千千结！
13736	看着就想吐，在部队消防队随便找几个小伙儿都比这群货色好看太多！
13738	看着来来往往的汽车站在桥上有振动的感觉
13743	看着胸上的痣移不开眼，我有罪
13760	考试前紧张，而且考试听到一扣分下这个脚就开始发抖了。
13772	可爱的老师个个一都喜欢
13782	可爱的亲亲姐姐
13794	可别去根现在才发芽别问我怎么知道
13798	可不，每天要来这么两次，真是伤心。不知道什么时候才能和宝贝一起睡觉
13807	可见孙孙在奶奶心中的重要性
13808	可就是我不会唱歌太好听了
13810	可怜的女人心就这么好
13811	可怜的乌克兰，被忽悠的从刚开始架拐换到现在都坐轮椅了，再坚持坚持就该换成棺材了
13825	可能用鹰帽了
13857	可以帮我脚搓出来吗
13867	可以看出来中国有多少男的pc,想想都恶心男人都管不住一半身吗希望嫖客们别去祸害老实女，染上性病去世
13874	可以亲一口胸嘛，老婆老婆
13901	恐怖说着人道主义做着反人类的事！
13907	空降的俄军空降饿的不行了，后续部队上不来啊
13908	恐怕是掉进了普京挖的坑里去了。
13918	扣音可耳朵完整版更好听
13930	快核按钮吧！明天银行逼我还房贷车贷啦。急得我自己去按吧
13934	快乐的好姐妹人美歌唱的太好了！棒棒哒！
13950	筷子在盘子里翻来翻去的干啥啊，真不注意形象
13953	快睡着了我给姐姐助助兴
13963	内裤都快扭碎啦
13982	裤子太大了，赶不上大部队了
13997	来吧，多来点，炸弹等候
14001	来吃饺子了，
14011	来和我干，不用打卡，月入万元
14016	来喽能给宁宁第一个作品来个完播加心嘛
14019	莱婆子真把自己当成个人物了，毛熊一巴掌能拍扁尔。
14020	来亲亲抱抱
14029	来一颗不能啊这火炮太大了耳朵遭不住
14033	来嘴的我来打
14036	来胸窝吧
14037	赖烟姿势甩
14053	狼牙月伊人憔悴，我举干杯饮尽了风雪
14058	蓝鲸人哈
14064	烂嘴美人
14066	烂鸟了？
14079	老板怕您掏钱带出枪来！
14082	老板随身带个扳手干嘛
14083	老板用纸箱吗
14086	老表快活羊熊样，唾觉还拍抖音视频
14089	老大江湖，嘴歪的
14097	老干妈为了快活天天睡男孩口味重。恶魔
14105	老龟孙
14120	老毛子可长了，你先准备一个茄子实习一下
14143	老婆快回家吧我的枪都洗干净啦，躺在床上等你给我来个最活
14161	老鼠屎谁还敢要，煮熟的米饭怎么接受一粒老鼠屎
14165	老太太你穿着大黑裤衩子嘚瑟啥啊
14170	老同学辛福安康天天开心！
14175	老头绝对是亮点！
14180	老头好啊
14186	老乌龟害怕了没有？别瞎逼逼乱叫了
14192	老鹰和猩猩我都看不惯，两人都不是好东西
14193	老鹰的早餐之一
14194	老鹰捉小鸡
14195	老宅房子再不好也不买地皮
14199	老子晚上先砍你
14201	老子右手一手直接给上面盖个钢印
14214	辣椒来了
14216	垃圾男人，真看不起你老婆漂亮就是耐不住寂寞，没吃过的屎都是香的
14217	辣鸡特效，没有社会主义5猫特效做的好
14218	垃圾桶公交车妓女一样
14222	落叶归根
14225	落阳版教科书宇宙无敌，胡编乱造属你最牛
14229	磊哥提刀在路上了
14237	两边都递刀，才有钱赚
14238	两锤子给手机kao烂
14246	两个灯笼舒服
14249	两个母的只能用茄子解决问题
14255	两个手掌是指望不上了，只能两只手指头小这样玩玩了
14265	两脚换着穿，本来那个胸是在脚底的
14266	兩家的门一模一樣啊
14270	两人打架，美丽国递刀啊！
14285	脸红茄子粗
14291	脸想几船自己行动，不是造反是什么？美的走狗
14296	连摩托车都不要了。
14304	俩剑鼻东西
14311	领美金的还用着华为头像，啧啧，背叛祖宗
14318	邻居是卖灯笼的吗？
14321	林彦俊的六角脸型好喜欢啊是不是丑八怪的特有脸型，说错啦！一起吃章鱼丸串烧？
14332	留个免费的小喜欢再走好吗？谢谢啦
14334	留脚印！
14343	留下脚印在走
14348	理发收俩人钱
14350	厉害俄罗斯那么多人都没你有军事能力，耐思奶牛逼，西红柿首富那卧龙凤雏该你演
