以前我不反对日货，现在我很🙅，希望国民们行动起来吧	以前我不反对日货，现在我很反对，希望国民们行动起来吧
很👎三，更鄙视三都不如的前妻	很鄙视三，更鄙视三都不如的前妻
你作死的行为让我很😡我都想弄死你们	你作死的行为让我很生气我都想弄死你们
特朗普很😊，也不会发动战争	特朗普很可爱，也不会发动战争
我已经很💪了居然不是我的	我已经很强壮了居然不是我的
现在看这个新闻都很😭缅怀英雄	现在看这个新闻都很感动缅怀英雄
你不觉得我很💪吗？	你不觉得我很强壮吗？
他们在一起了，我很😱	他们在一起了，我很害怕
他看起来很💢	他看起来很愤怒
他看起来很💪	他看起来很强壮
这个故事内容很😭	这个故事内容很感动
这件事情你处理的很👌	这件事情你处理的很好
他今天很😁	他今天很幸福
带妈妈去旅游了她很😁	带妈妈去旅游了她很幸福
我真的很🖕你	我真的很鄙视你
他看起来很💪	他看起来很强壮
我觉得他今天很😁	我觉得他今天很开心
他今天开起来很😁	他今天开起来很幸福
这一天让他很😃	这一天让他很高兴
这个问题让我很😖	这个问题让我很纠结
对于这件事情我很🤨	对于这件事情我很怀疑
你这样我很😬	你这样我很不好意思
他很😒的咆哮起来	他很高兴的咆哮起来
